epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,5993.12,1.04058,1.06316,2.18934,0.00374,0.38266,0.78194,0.68676,0.71704,0.53603,0.7454,0.67371,0.69037,0.4652,1.42525,1.83447,5.9944,0.00727,0,0.00023368,0.00023368,0.00023368
65,6065.18,1.03166,1.03638,2.21682,0.00367,0.37036,0.77189,0.68904,0.72371,0.54565,0.79702,0.65404,0.70521,0.47764,1.42099,1.86403,6.31967,0.00706,0,0.00023104,0.00023104,0.00023104
66,6163.63,1.02739,1.05933,2.16588,0.00369,0.36994,0.74715,0.69579,0.7186,0.54384,0.72657,0.68131,0.69372,0.46677,1.41766,1.93548,6.42737,0.00723,0,0.0002284,0.0002284,0.0002284
67,6239.42,1.01544,1.01434,2.07218,0.00368,0.37194,0.74934,0.66822,0.70482,0.53989,0.73213,0.64607,0.67614,0.47448,1.43,1.94537,6.3045,0.00742,0,0.00022576,0.00022576,0.00022576
68,6365.07,1.01107,1.02056,2.11437,0.0035,0.3634,0.74284,0.68199,0.71155,0.54737,0.73612,0.63883,0.67704,0.46198,1.43055,2.07617,6.46054,0.00727,0,0.00022312,0.00022312,0.00022312
69,6442.75,1.02102,1.02738,2.12157,0.00356,0.36879,0.75507,0.70672,0.71189,0.53714,0.72894,0.68232,0.6879,0.4586,1.44735,2.03569,6.32577,0.00738,0,0.00022048,0.00022048,0.00022048
70,6536.39,0.9932,1.00251,1.95548,0.00352,0.37181,0.79166,0.67387,0.72331,0.55039,0.76987,0.66224,0.69968,0.47279,1.42039,1.85786,6.24593,0.00709,0,0.00021784,0.00021784,0.00021784
71,6630.13,1.00398,1.01259,2.06175,0.00367,0.36633,0.7368,0.6931,0.70907,0.53877,0.70788,0.67966,0.68082,0.46788,1.4361,1.9354,6.13211,0.00766,0,0.0002152,0.0002152,0.0002152
72,6704.45,0.9943,0.98793,2.09577,0.00351,0.36352,0.74998,0.6822,0.71458,0.53632,0.72373,0.67396,0.68109,0.46792,1.3976,1.817,6.21277,0.00717,0,0.00021256,0.00021256,0.00021256
73,6805.52,0.98893,0.99671,1.9603,0.00354,0.36034,0.74997,0.7007,0.71084,0.53039,0.72555,0.67645,0.67609,0.45606,1.48819,2.02583,6.35876,0.00793,0,0.00020992,0.00020992,0.00020992
